35AD 0000 1DA5 2CF7 36EA 0000 0000 1FA7 13C0 1EE5 0000 1E17 0000 183F 0000 5BEE 0000 1B0B 0000 17E6 13FB 25C0 0000 0000
35AD FFF6 1C5F 2CFA 36EA E062 FFFA 1FA5 13C3 1EE4 FFB0 1D7A FFD1 173B DB76 5BD6 FFFE 1AA6 FFFB 17E6 13FC 25D6 EC94 FFFA
35AA FFF6 1C5F 2CFA 36E8 E062 FFFA 1FA5 13C1 1EE2 FFB0 1D74 FFD1 173B DB77 5BD6 FFFE 1AA7 FFFB 17DA 13F4 25C2 EC94 FFFA
35A9 FFF6 1C5C 2CFA 36E8 E062 FFFA 1FA5 13C1 1EE2 FFB0 1D73 FFD1 173C DB77 5BD6 FFFE 1AAA FFFB 17D9 13F5 25C7 EC92 FFFA
35AA FFF6 1C5C 2CF9 36E8 E062 FFFA 1FA5 13C9 1EE3 FFB0 1D73 FFD1 1740 DB77 5BD5 FFFE 1AAA FFFB 17DA 13FA 25C4 EC92 FFFA
35AA FFF6 1C5B 2CF9 36E8 E061 FFFA 1FA5 13CD 1EE3 FFB0 1D74 FFD1 1744 DB77 5BD6 FFFE 1AA5 FFFB 17D7 13FB 25C6 EC91 FFFA
35AB FFF6 1C5E 2CF9 36E8 E062 FFFA 1FA5 13CD 1EE3 FFB0 1D72 FFD1 1744 DB77 5BD6 FFFE 1AA3 FFFB 17DA 13FB 25C6 EC91 FFFA
35AB FFF6 1C5B 2CF9 36E9 E061 FFFA 1FA5 13CA 1EE4 FFB0 1D72 FFD1 173F DB77 5BD3 FFFE 1AA7 FFFB 17D6 13F9 25BB EC91 FFFA
35AA FFF6 1C5D 2CF9 36E8 E062 FFFA 1FA5 13CA 1EE3 FFB0 1D71 FFD1 173E DB77 5BD3 FFFE 1AA3 FFFB 17D6 13F9 25BA EC90 FFFA
35A9 FFF6 1C5D 2CF8 36E9 E062 FFFA 1FA6 13CA 1EE3 FFB0 1D71 FFD1 1741 DB76 5BD3 FFFE 1AA3 FFFB 17D9 13F8 25B8 EC8F FFFA
35AA FFF6 1C5D 2CF9 36E9 E063 FFFA 1FA6 13CB 1EE2 FFB0 1D71 FFD1 173F DB76 5BD2 FFFE 1AA3 FFFB 17D9 13F6 25B7 EC90 FFFA
35AA FFF6 1C88 2CFC 36F6 E06C FFFA 1FB3 13C6 1EE2 FFB0 1D71 FFD1 175E DB75 5BD0 FFFE 1AAC FFFB 17D6 13F3 25BA EC96 FFFA
35A7 FFF6 1C88 2CFE 3717 E086 FFFA 1FC4 13C6 1EE0 FFB0 1D7E FFD1 1761 DB6F 5BC6 FFFE 1AAE FFFB 17B4 13DB 25BD EC97 FFFA
35AE FFF6 1C7E 2CFD 3729 E094 FFFA 1FCC 13BC 1EE5 FFB0 1DA0 FFD1 175A DB4A 5BA3 FFFE 1AAF FFFB 1818 141E 25C2 EC97 FFFA
35D1 FFF6 1C6C 2CFC 3729 E094 FFFA 1FCC 1459 1F00 FFB0 1DA0 FFD1 1794 DBD4 5C1D FFFE 1AA2 FFFB 193B 154C 25C2 EC90 FFFA
35AF FFF6 1C91 2D00 36C3 E04C FFFA 1FA6 1471 1EEA FFB0 1D43 FFD1 17D1 DBD4 5C1D FFFE 1A5F FFFB 17A1 1433 2572 EC96 FFFA
35C5 FFF6 1C88 2D00 36C3 E04C FFFA 1FA6 146F 1EFA FFB0 1D52 FFD1 17C1 DBE6 5C37 FFFE 1A3A FFFB 1820 14BA 256C EC96 FFFA
35B9 FFF6 1C78 2CF9 3690 E026 FFFA 1F7F 1465 1EF1 FFB0 1D17 FFD1 1763 DC09 5C4B FFFE 1A97 FFFB 1815 14B8 2551 EC91 FFFA
35AB FFF6 1CC2 2D0A 36AD E03C FFFA 1FA0 147A 1EE8 FFB0 1D43 FFD1 17FA DC09 5C4B FFFE 1A97 FFFB 17C1 1418 2559 ECA3 FFFA
35AA FFF6 1CC2 2D0A 36DF E062 FFFA 1FBA 1490 1EE4 FFB0 1D5F FFD1 17FA DBE4 5C1C FFFE 1A48 FFFB 1769 1448 257F ECA3 FFFA
35AB FFF6 1C65 2D02 36EE E06E FFFA 1FC7 1499 1EE5 FFB0 1D52 FFD1 17D2 DB88 5BDA FFFE 1A10 FFFB 1769 1448 257F EC95 FFFA
35AC FFF6 1C6B 2D00 3709 E080 FFFA 1FD0 1497 1EE4 FFB0 1D64 FFD1 17D2 DB76 5BC4 FFFE 1A1A FFFB 1775 1438 2596 EC93 FFFA
35B8 FFF6 1C64 2CFC 3711 E088 FFFA 1FD3 1485 1EEB FFB0 1D95 FFD1 17B6 DB55 5BB2 FFFE 1A1C FFFB 1819 14CF 2587 EC90 FFFA
35CF FFF6 1CBE 2D0F 3711 E088 FFFA 1FD1 1500 1F04 FFB0 1D95 FFD1 1842 DBDD 5C0D FFFE 1A0D FFFB 18BE 1574 2584 ECA9 FFFA
35AE FFF6 1CBE 2D0F 36D6 E05E FFFA 1FC1 1500 1EE6 FFB0 1D41 FFD1 1842 DBDD 5C0D FFFE 19FD FFFB 1743 147A 2556 ECA9 FFFA
35AE FFF6 1C62 2D10 36F4 E074 FFFA 1FC6 14F4 1EE6 FFB0 1D6F FFD1 17F9 DB92 5BDC FFFE 19FA FFFB 1787 147A 258B ECA8 FFFA
35B0 FFF6 1C54 2D10 36F4 E074 FFFA 1FC6 14DB 1EE8 FFB0 1D6F FFD1 17ED DB86 5BD0 FFFE 19FA FFFB 1787 1485 258B ECA8 FFFA
35B0 FFF6 1C40 2D00 36E6 E068 FFFA 1FC6 14E1 1EE7 FFB0 1D4D FFD1 17DF DB79 5BCD FFFE 19D0 FFFB 176D 1483 2568 EC90 FFFA
35B1 FFF6 1C49 2D00 36E7 E06B FFFA 1FC6 14DF 1EE5 FFB0 1D71 FFD1 17DF DB7A 5BCE FFFE 19DE FFFB 1773 147E 257F EC90 FFFA
35B1 FFF6 1C49 2D01 36EB E06C FFFA 1FC7 14D4 1EE4 FFB0 1D71 FFD1 17DB DB7D 5BCE FFFE 19DC FFFB 1781 147E 2583 EC92 FFFA
35D4 FFF6 1C94 2CFF 36EA E06C FFFA 1FC4 14F3 1EF5 FFB0 1D50 FFD1 1823 DBB8 5BEC FFFE 19F0 FFFB 17D8 14E8 2583 EC8F FFFA
35D4 FFF6 1CDC 2D0A 3708 E07C FFFA 1FCB 14F3 1EF5 FFB0 1D7A FFD1 1837 DBB8 5BEC FFFE 1A52 FFFB 17E8 1461 257B ECA5 FFFA
