35AB 0000 1DAD 2CF6 36EE 0000 0000 1FA8 13C2 1EE3 0000 1E04 0000 1847 0000 5BEC 0000 1B11 0000 17D8 13EE 25BB 0000 0000
35AB FFF6 1C5E 2CF7 36F0 E067 FFFA 1FA8 13B8 1EE3 FFB0 1D76 FFD1 1738 DB6D 5BCB FFFE 1AB2 FFFB 17DB 13F0 25C5 EC8E FFFA
35AB FFF6 1C5F 2CF7 36F1 E069 FFFA 1FAA 13BB 1EE5 FFB0 1D7B FFD1 1738 DB6A 5BC9 FFFE 1AB2 FFFB 17DA 13F2 25C8 EC8D FFFA
35AB FFF6 1C5F 2CF8 36F2 E069 FFFA 1FAB 13BD 1EE3 FFB0 1D7D FFD1 1738 DB69 5BC8 FFFE 1AAC FFFB 17DC 13F2 25C8 EC8F FFFA
35AB FFF6 1C5D 2CF8 36F2 E06A FFFA 1FAB 13BD 1EE4 FFB0 1D77 FFD1 1739 DB6A 5BC8 FFFE 1AAE FFFB 17DD 13F4 25BD EC90 FFFA
35AB FFF6 1C5B 2CF8 36F2 E06A FFFA 1FAB 13BD 1EE3 FFB0 1D77 FFD1 1739 DB6A 5BC8 FFFE 1AA9 FFFB 17D9 13F4 25BA EC8E FFFA
35AB FFF6 1C5C 2CF9 36F2 E069 FFFA 1FAC 13BB 1EE3 FFB0 1D79 FFD1 1739 DB6A 5BC8 FFFE 1AA9 FFFB 17DB 13F2 25C3 EC90 FFFA
35AA FFF6 1C5C 2CF9 36F2 E069 FFFA 1FAC 13C1 1EE3 FFB0 1D79 FFD1 173A DB6B 5BC8 FFFE 1AA9 FFFB 17DA 13F6 25BC EC92 FFFA
35AC FFF6 1C5C 2CF8 36F2 E069 FFFA 1FAB 13C7 1EE4 FFB0 1D74 FFD1 173C DB6B 5BC7 FFFE 1AA7 FFFB 17DB 13F9 25B8 EC91 FFFA
35AD FFF6 1C6D 2CF8 36F4 E06C FFFA 1FB1 13CD 1EE5 FFB0 1D74 FFD1 1752 DB6A 5BC6 FFFE 1AA1 FFFB 17D4 13FA 25B8 EC90 FFFA
35B0 FFF6 1C7F 2CF5 3710 E082 FFFA 1FC0 13CD 1EE6 FFB0 1D7E FFD1 175E DB6A 5BC2 FFFE 1AAB FFFB 17C9 13F1 25BD EC8B FFFA
35CB FFF6 1C7F 2CF3 3729 E092 FFFA 1FCD 13EA 1F00 FFB0 1DD0 FFD1 175E DB52 5BAF FFFE 1AA8 FFFB 188B 14A7 25C0 EC87 FFFA
