35AB 0000 1DB0 2CF5 36EE 0000 0000 1FA9 13C7 1EE4 0000 1E08 0000 184F 0000 5BEA 0000 1B0E 0000 17DC 13F1 25BC 0000 0000
35AE FFF6 1C5D 2CF7 36F0 E067 FFFA 1FA9 13B9 1EE4 FFB0 1D71 FFD1 1738 DB6D 5BC9 FFFE 1AAE FFFB 17DC 13F1 25BC EC8D FFFA
35AE FFF6 1C60 2CF7 36F2 E069 FFFA 1FAB 13BB 1EE4 FFB0 1D78 FFD1 1739 DB6B 5BC8 FFFE 1AAF FFFB 17DD 13EF 25C0 EC8E FFFA
35AC FFF6 1C60 2CF8 36F4 E06B FFFA 1FAB 13BB 1EE4 FFB0 1D7A FFD1 1739 DB68 5BC6 FFFE 1AA8 FFFB 17DA 13F1 25C7 EC8F FFFA
35AC FFF6 1C60 2CF8 36F4 E06B FFFA 1FAD 13BE 1EE4 FFB0 1D7B FFD1 173B DB67 5BC5 FFFE 1AAC FFFB 17DC 13F0 25C7 EC8F FFFA
35AC FFF6 1C60 2CF7 36F4 E06C FFFA 1FAE 13C6 1EE4 FFB0 1D77 FFD1 1742 DB67 5BC3 FFFE 1AAC FFFB 17DD 13F6 25B3 EC90 FFFA
35AC FFF6 1C5C 2CF7 36F4 E06C FFFA 1FAE 13C5 1EE3 FFB0 1D70 FFD1 1741 DB69 5BC2 FFFE 1AAC FFFB 17DC 13F7 25B3 EC8F FFFA
35AC FFF6 1C5C 2CF8 36F4 E06C FFFA 1FB0 13CF 1EE4 FFB0 1D70 FFD1 1748 DB69 5BC2 FFFE 1AA6 FFFB 17D4 13FC 25B2 EC8E FFFA
35AB FFF6 1C61 2CFC 36F8 E06E FFFA 1FB3 13CF 1EE4 FFB0 1D6D FFD1 1748 DB68 5BC2 FFFE 1A9F FFFB 17D5 13FC 25AE EC94 FFFA
35AE FFF6 1C58 2CFC 36F8 E06F FFFA 1FB3 13DE 1EE5 FFB0 1D6B FFD1 1749 DB6B 5BC6 FFFE 1A9C FFFB 17DF 1412 25AB EC95 FFFA
35D3 FFF6 1C69 2CF9 36F2 E06F FFFA 1FB1 144E 1EF4 FFB0 1DA4 FFD1 1767 DB87 5BDE FFFE 1A95 FFFB 1809 1469 25AB EC90 FFFA
35D3 FFF6 1C66 2D02 36F0 E06F FFFA 1FBD 14C8 1EF4 FFB0 1DA4 FFD1 17E8 DB95 5BE5 FFFE 1A59 FFFB 1809 1469 258A EC95 FFFA
35AD FFF6 1C66 2D0B 36E7 E068 FFFA 1FC2 14C8 1EE2 FFB0 1D65 FFD1 17E8 DB8F 5BE4 FFFE 19FF FFFB 1799 149E 257F ECA3 FFFA
35A6 FFF6 1C8B 2D0F 36E7 E068 FFFA 1FC3 14E0 1EE1 FFB0 1D5F FFD1 1804 DBAE 5BF8 FFFE 19E7 FFFB 1799 149E 257F ECA8 FFFA
35A6 FFF6 1C8B 2D06 36F7 E074 FFFA 1FC8 14D2 1EE2 FFB0 1D66 FFD1 1804 DB99 5BE2 FFFE 19E7 FFFB 1758 146C 259C EC9C FFFA
35AB FFF6 1C59 2D04 3700 E07A FFFA 1FCB 14D2 1EE2 FFB0 1D67 FFD1 17E0 DB78 5BCE FFFE 19DD FFFB 1768 146C 25A9 EC96 FFFA
35B7 FFF6 1C65 2D01 3706 E07F FFFA 1FCE 14B6 1EEE FFB0 1D81 FFD1 17D9 DB63 5BBC FFFE 19FD FFFB 17A0 1488 25AA EC95 FFFA
35C6 FFF6 1C54 2CFD 3705 E07F FFFA 1FCD 14CB 1EEE FFB0 1D93 FFD1 17B3 DB7E 5BD9 FFFE 19EB FFFB 17DD 14AB 259C EC8C FFFA
35C6 FFF6 1C56 2D07 36E9 E06F FFFA 1FC7 1507 1EEC FFB0 1D93 FFD1 1805 DB95 5BE1 FFFE 19DE FFFB 17DD 14AB 2597 EC9B FFFA
35B1 FFF6 1C5F 2D07 36F2 E073 FFFA 1FCD 1507 1EE7 FFB0 1D57 FFD1 180C DB95 5BDD FFFE 19C3 FFFB 1740 1478 257F EC9A FFFA
35B1 FFF6 1C5F 2CFF 36FC E079 FFFA 1FCF 14DA 1EE7 FFB0 1D5C FFD1 17EC DB70 5BC3 FFFE 19D5 FFFB 1769 1480 2597 EC91 FFFA
35AD FFF6 1C4E 2CFF 36FF E07B FFFA 1FD0 14DA 1EE7 FFB0 1D5C FFD1 17DC DB67 5BBE FFFE 19D6 FFFB 1769 1480 2597 EC91 FFFA
35AF FFF6 1C4E 2CFC 3701 E07C FFFA 1FD1 14BC 1EE7 FFB0 1D65 FFD1 17DC DB5F 5BB6 FFFE 19DF FFFB 1766 146F 258A EC8D FFFA
35B1 FFF6 1C53 2CFF 3706 E082 FFFA 1FD1 14BA 1EE7 FFB0 1D61 FFD1 17CC DB5B 5BB2 FFFE 19FD FFFB 179A 1469 259C EC91 FFFA
35BC FFF6 1C56 2D00 3707 E082 FFFA 1FD0 1486 1EF7 FFB0 1D66 FFD1 17B7 DB5A 5BB6 FFFE 1A1B FFFB 17A0 1469 259C EC8F FFFA
35CE FFF6 1C56 2CFC 3700 E07D FFFA 1FC9 14A8 1F08 FFB0 1D66 FFD1 179A DB98 5BE0 FFFE 1A1B FFFB 17DF 14B4 2589 EC8A FFFA
35C3 FFF6 1C58 2CF8 36DA E060 FFFA 1FC4 14E0 1EF9 FFB0 1D31 FFD1 17EE DBA9 5BEC FFFE 1A1E FFFB 17B9 14B4 2523 EC85 FFFA
35D0 FFF6 1C61 2CF4 36E8 E06E FFFA 1FCB 14E0 1F0A FFB0 1D2A FFD1 17EE DBA9 5BED FFFE 1A36 FFFB 178B 145E 2532 EC7F FFFA
35D1 FFF6 1CAD 2D27 36F4 E074 FFFA 1FCE 14B3 1F0A FFB0 1D31 FFD1 17D7 DBA4 5BE8 FFFE 1A73 FFFB 177E 145E 2583 ECCB FFFA
35C5 FFF6 1CDD 2D36 373B E0A2 FFFA 1FD8 149B 1EF7 FFB0 1D9C FFD1 17C9 DB82 5BC3 FFFE 1ABB FFFB 17CF 1452 25C2 ECE7 FFFA
35AB FFF6 1CD6 2D0A 373D E0A2 FFFA 1FD8 13F6 1EE1 FFB0 1D9C FFD1 17C3 DB4E 5B8F FFFE 1ABB FFFB 17DC 13E9 25C2 ECA6 FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
