35AD 0000 1DA7 2CF7 36ED 0000 0000 1FA9 13CC 1EE5 0000 1E0F 0000 184F 0000 5BEF 0000 1B05 0000 17D1 13FE 25CC 0000 0000
35AD FFF6 1C5A 2CF7 36EE E066 FFFA 1FA7 13C8 1EE5 FFB0 1D7D FFD1 173F DB6E 5BD0 FFFE 1A9F FFFB 17D9 13FE 25D9 EC8E FFFA
35AD FFF6 1C5F 2CF7 36EE E066 FFFA 1FA8 13C6 1EE6 FFB0 1D80 FFD1 173D DB6D 5BCF FFFE 1A9F FFFB 17D9 13F8 25CE EC8D FFFA
35AC FFF6 1C5D 2CF7 36EE E066 FFFA 1FA8 13CB 1EE6 FFB0 1D80 FFD1 1741 DB6D 5BCE FFFE 1A9C FFFB 17D7 13FB 25CD EC8C FFFA
35AC FFF6 1C5D 2CF7 36EE E066 FFFA 1FA8 13CC 1EE5 FFB0 1D79 FFD1 1740 DB6D 5BCD FFFE 1A9A FFFB 17D2 13FE 25C7 EC8C FFFA
35AC FFF6 1C5A 2CF6 36EF E066 FFFA 1FA8 13CF 1EE5 FFB0 1D7D FFD1 1741 DB6D 5BCE FFFE 1A95 FFFB 17D1 13FE 25CD EC8B FFFA
35AE FFF6 1C5D 2CF7 36EE E066 FFFA 1FA9 13D5 1EE4 FFB0 1D7A FFD1 174C DB6E 5BCE FFFE 1A90 FFFB 17D1 13FD 25C9 EC8D FFFA
35AE FFF6 1C59 2CF6 36EF E067 FFFA 1FAB 13D1 1EE5 FFB0 1D7A FFD1 1746 DB6D 5BCD FFFE 1A93 FFFB 17CC 13FC 25C8 EC8B FFFA
35AE FFF6 1C59 2CF6 36EF E067 FFFA 1FAB 13D2 1EE6 FFB0 1D75 FFD1 1746 DB6D 5BCD FFFE 1A93 FFFB 17CC 13FF 25C6 EC8A FFFA
35AE FFF6 1C5A 2CF8 36EE E067 FFFA 1FAA 13D4 1EE6 FFB0 1D77 FFD1 1745 DB6D 5BCD FFFE 1A93 FFFB 17CD 13FF 25CB EC8D FFFA
35AD FFF6 1C64 2CF7 36EF E068 FFFA 1FAC 13D9 1EE6 FFB0 1D75 FFD1 174A DB6C 5BCD FFFE 1A95 FFFB 17CC 1402 25C5 EC8D FFFA
