35AB 0000 1DAB 2CF7 36EE 0000 0000 1FA9 13CC 1EE4 0000 1E10 0000 1853 0000 5BED 0000 1B0C 0000 17D8 13F6 25C4 0000 0000
35AB FFF6 1C58 2CF9 36EE E066 FFFA 1FA8 13C7 1EE4 FFB0 1D77 FFD1 1743 DB6E 5BCD FFFE 1AA4 FFFB 17DA 13FA 25C4 EC8F FFFA
35AB FFF6 1C61 2CF7 36EE E067 FFFA 1FA8 13C7 1EE4 FFB0 1D7D FFD1 1743 DB6E 5BCD FFFE 1AA2 FFFB 17D6 13FA 25C6 EC8D FFFA
35AB FFF6 1C61 2CF8 36EE E067 FFFA 1FA9 13C9 1EE5 FFB0 1D7D FFD1 173D DB6D 5BCC FFFE 1AA2 FFFB 17D6 13F9 25C6 EC8D FFFA
35AB FFF6 1C60 2CF7 36EE E067 FFFA 1FA9 13C9 1EE4 FFB0 1D75 FFD1 1741 DB6E 5BCC FFFE 1AA4 FFFB 17D7 13FA 25C3 EC8D FFFA
35AC FFF6 1C5C 2CF8 36EE E067 FFFA 1FA9 13CD 1EE4 FFB0 1D78 FFD1 1743 DB6E 5BCB FFFE 1AA2 FFFB 17D7 13FC 25C4 EC8D FFFA
35AC FFF6 1C5C 2CF9 36EE E067 FFFA 1FA9 13CD 1EE4 FFB0 1D73 FFD1 1746 DB6E 5BCB FFFE 1AA2 FFFB 17D8 13FB 25C4 EC90 FFFA
35AC FFF6 1C5A 2CF8 36ED E066 FFFA 1FAA 13D2 1EE4 FFB0 1D73 FFD1 1743 DB6D 5BCA FFFE 1AA1 FFFB 17D8 13FC 25BB EC8F FFFA
35AC FFF6 1C5A 2CF8 36EF E068 FFFA 1FAB 13D2 1EE4 FFB0 1D74 FFD1 1748 DB6D 5BCB FFFE 1A9E FFFB 17D3 13FD 25BC EC90 FFFA
35AC FFF6 1C5A 2CF7 36EF E067 FFFA 1FAB 13D3 1EE4 FFB0 1D7A FFD1 1748 DB6D 5BCA FFFE 1A9B FFFB 17D1 13FD 25BC EC8D FFFA
35AD FFF6 1C5E 2CF8 36F0 E068 FFFA 1FAD 13D6 1EE4 FFB0 1D76 FFD1 174D DB6D 5BC9 FFFE 1A99 FFFB 17CF 1402 25C2 EC8E FFFA
35AD FFF6 1C85 2CF8 3704 E078 FFFA 1FBA 13D0 1EE4 FFB0 1D7A FFD1 1760 DB6B 5BC9 FFFE 1AA7 FFFB 17C8 13F7 25C2 EC8E FFFA
35AC FFF6 1C85 2CF8 3722 E08E FFFA 1FCA 13C8 1EE2 FFB0 1D81 FFD1 1760 DB5B 5BB0 FFFE 1AA9 FFFB 17BB 13D6 25C6 EC8E FFFA
35C4 FFF6 1C75 2CF7 372B E095 FFFA 1FCF 13F2 1EFD FFB0 1DE0 FFD1 1754 DB4D 5BD4 FFFE 1AA9 FFFB 1939 1530 25C6 EC8E FFFA
35C4 FFF6 1C7E 2CF9 3707 E084 FFFA 1FAA 1474 1EFD FFB0 1DE0 FFD1 17B7 DBBF 5C0B FFFE 1A46 FFFB 1939 1530 2598 EC8C FFFA
35BF FFF6 1C7E 2CF7 36B5 E045 FFFA 1F9D 148C 1EF8 FFB0 1D46 FFD1 17B7 DBE6 5C30 FFFE 1A39 FFFB 17DF 14A3 255E EC89 FFFA
35BA FFF6 1C51 2CF7 3695 E02C FFFA 1F8B 148C 1EF3 FFB0 1D08 FFD1 177D DC07 5C48 FFFE 1A6E FFFB 17DF 14A3 2536 EC8B FFFA
35AD FFF6 1CA0 2D03 368B E020 FFFA 1F86 145C 1EE9 FFB0 1D3F FFD1 17B5 DC0B 5C48 FFFE 1A80 FFFB 17C3 1447 2536 EC9B FFFA
35AF FFF6 1CAE 2D00 36C2 E04D FFFA 1FAD 14A2 1EEC FFB0 1D3F FFD1 17F3 DBF5 5C30 FFFE 1A6D FFFB 1772 1423 2560 EC96 FFFA
35AF FFF6 1CA4 2D05 36E8 E068 FFFA 1FC4 14A4 1EEC FFB0 1D44 FFD1 17F1 DBB2 5BF2 FFFE 1A21 FFFB 175B 144C 2567 EC9A FFFA
35AC FFF6 1C82 2D02 3706 E080 FFFA 1FD3 14A4 1EE7 FFB0 1D59 FFD1 17E2 DB86 5BD3 FFFE 1A0D FFFB 176D 144E 2586 EC97 FFFA
35B6 FFF6 1C90 2CFE 3716 E087 FFFA 1FD4 148F 1EEA FFB0 1D7A FFD1 17BC DB58 5BAC FFFE 1A56 FFFB 17C0 1465 25C2 EC92 FFFA
35BA FFF6 1C3D 2CF5 3716 E085 FFFA 1FD4 14A5 1EF1 FFB0 1D8D FFD1 17A2 DB62 5BCE FFFE 1A21 FFFB 183F 14FC 2577 EC85 FFFA
35BA FFF6 1C81 2D08 36F7 E078 FFFA 1FC5 14F7 1EF1 FFB0 1D8D FFD1 182B DBA6 5BE7 FFFE 19CD FFFB 183F 14FC 256E EC9D FFFA
35C1 FFF6 1C83 2D08 3700 E07A FFFA 1FC7 14E2 1EEB FFB0 1D88 FFD1 180F DB8D 5BD6 FFFE 1A0D FFFB 17B2 1479 259F EC9D FFFA
35C1 FFF6 1C4E 2D05 3700 E07A FFFA 1FCA 14CC 1EEB FFB0 1D88 FFD1 17D5 DB6F 5BC1 FFFE 1A0D FFFB 17B2 1479 2593 EC94 FFFA
35BD FFF6 1C55 2D05 36F6 E076 FFFA 1FCC 14CD 1EEE FFB0 1D66 FFD1 17D5 DB6F 5BC1 FFFE 19E9 FFFB 176A 147A 258B EC94 FFFA
35B2 FFF6 1C47 2D01 36F6 E074 FFFA 1FCB 14C7 1EEA FFB0 1D59 FFD1 17D3 DB69 5BBE FFFE 19DE FFFB 176A 147A 2581 EC93 FFFA
35B4 FFF6 1C47 2CFE 36F7 E076 FFFA 1FCB 14BB 1EEA FFB0 1D56 FFD1 17C6 DB66 5BBE FFFE 19E4 FFFB 1774 146D 2581 EC90 FFFA
35B8 FFF6 1C43 2CFB 36F7 E075 FFFA 1FCA 14A8 1EED FFB0 1D5F FFD1 17C0 DB67 5BC2 FFFE 1A0F FFFB 17B4 146F 257F EC8C FFFA
35BD FFF6 1C66 2CF9 36F3 E073 FFFA 1FC3 14F4 1EFB FFB0 1D5F FFD1 17F8 DBE4 5C1D FFFE 1A0F FFFB 1842 150C 257E EC88 FFFA
35BF FFF6 1CC0 2CF6 36DF E069 FFFA 1FC8 14F4 1EF5 FFB0 1D1D FFD1 182F DBE4 5C1D FFFE 1A04 FFFB 1742 1470 2523 EC84 FFFA
