35B0 0000 1E1A 2CF1 3716 0000 0000 1FC3 13C4 1EE9 0000 1E51 0000 18AC 0000 5BCD 0000 1B1D 0000 17F1 1400 25C0 0000 0000
35B4 FFF6 1C46 2CF1 3716 E085 FFFA 1FC0 13B9 1EEB FFB0 1D82 FFD1 172F DB58 5BBB FFFE 1AA4 FFFB 17F1 1408 25C0 EC85 FFFA
35B4 FFF6 1C49 2CEF 3708 E07B FFFA 1FB8 13C9 1EEB FFB0 1D78 FFD1 1732 DB6D 5BCF FFFE 1A9D FFFB 17F1 1413 25C3 EC80 FFFA
35B4 FFF6 1C53 2CF6 36F6 E06D FFFA 1FAC 13C7 1EE9 FFB0 1D72 FFD1 1738 DB77 5BD7 FFFE 1AA1 FFFB 17F1 140C 25C3 EC8B FFFA
35AE FFF6 1C5B 2CF6 36E7 E062 FFFA 1FA4 13CB 1EE7 FFB0 1D76 FFD1 173D DB78 5BD8 FFFE 1AA1 FFFB 17DE 1401 25C5 EC8B FFFA
35AD FFF6 1C5B 2CF5 36E4 E05F FFFA 1FA2 13CE 1EE7 FFB0 1D76 FFD1 1740 DB7A 5BD9 FFFE 1A9C FFFB 17D7 13FE 25CC EC8A FFFA
35AC FFF6 1C61 2CF6 36E4 E05F FFFA 1FA3 13D3 1EE6 FFB0 1D77 FFD1 1741 DB7A 5BD9 FFFE 1A9C FFFB 17D7 13FB 25CC EC8A FFFA
35AD FFF6 1C5B 2CF7 36E4 E060 FFFA 1FA3 13D2 1EE6 FFB0 1D75 FFD1 1744 DB79 5BD8 FFFE 1A9C FFFB 17D7 1401 25C3 EC8D FFFA
35AB FFF6 1C5B 2CF8 36E5 E060 FFFA 1FA5 13D2 1EE7 FFB0 1D77 FFD1 1748 DB79 5BD8 FFFE 1A9E FFFB 17D2 1401 25CC EC8F FFFA
35AE FFF6 1C5D 2CF9 36E5 E060 FFFA 1FA5 13DC 1EE6 FFB0 1D78 FFD1 1748 DB78 5BD8 FFFE 1A95 FFFB 17D0 1409 25C5 EC8F FFFA
35AE FFF6 1C63 2CF9 36E4 E05F FFFA 1FA4 13D7 1EE7 FFB0 1D71 FFD1 1748 DB78 5BD7 FFFE 1A9C FFFB 17D2 1402 25C5 EC8F FFFA
35AC FFF6 1C63 2CF7 36E5 E060 FFFA 1FA5 13D6 1EE7 FFB0 1D71 FFD1 1746 DB78 5BD5 FFFE 1A9C FFFB 17D2 1400 25B8 EC8C FFFA
35AB FFF6 1C66 2CF8 36E8 E062 FFFA 1FA7 13D3 1EE5 FFB0 1D71 FFD1 174B DB78 5BD5 FFFE 1A99 FFFB 17CE 13FF 25BF EC91 FFFA
35AA FFF6 1C81 2D03 36FB E070 FFFA 1FB7 13D4 1EE3 FFB0 1D6C FFD1 1761 DB77 5BD2 FFFE 1AA3 FFFB 17CB 13F6 25BC EC9F FFFA
35A9 FFF6 1C84 2D05 3716 E082 FFFA 1FC1 13D4 1EEB FFB0 1D90 FFD1 1761 DB72 5BCB FFFE 1AA9 FFFB 17F7 1407 25BD ECA2 FFFA
35D9 FFF6 1C9D 2D01 3716 E082 FFFA 1FC1 144B 1F08 FFB0 1DDC FFD1 17BA DBD1 5C15 FFFE 1AA9 FFFB 1912 1527 25BD EC9C FFFA
35B1 FFF6 1CB6 2D06 36E2 E064 FFFA 1FB0 145F 1EEA FFB0 1D6B FFD1 17DD DBD1 5C15 FFFE 1A5A FFFB 17BF 1453 25A0 EC9E FFFA
