35AB 0000 1D8F 2CF6 36E5 0000 0000 1FA2 13C6 1EE6 0000 1E05 0000 1831 0000 5BF5 0000 1B06 0000 17D3 13F0 25BE 0000 0000
35AD FFF6 1C66 2CF7 36E7 E061 FFFA 1FA4 13BE 1EE7 FFB0 1D74 FFD1 173E DB7A 5BD6 FFFE 1AAD FFFB 17D7 13F0 25C2 EC8E FFFA
35AD FFF6 1C66 2CF7 36EA E063 FFFA 1FA5 13BE 1EE6 FFB0 1D74 FFD1 173A DB75 5BD3 FFFE 1AB0 FFFB 17DA 13EE 25C5 EC8E FFFA
35AB FFF6 1C70 2CF9 36F4 E06A FFFA 1FAD 13B7 1EE5 FFB0 1D7A FFD1 1747 DB72 5BCF FFFE 1AB0 FFFB 17D3 13E9 25C8 EC91 FFFA
35A9 FFF6 1C70 2CFB 3703 E076 FFFA 1FB5 13B7 1EE4 FFB0 1D78 FFD1 1747 DB69 5BC5 FFFE 1AB6 FFFB 17CF 13E7 25C2 EC94 FFFA
35A8 FFF6 1C71 2CFF 3715 E083 FFFA 1FC1 13B5 1EE0 FFB0 1D80 FFD1 1748 DB5D 5BBA FFFE 1AB5 FFFB 17CA 13E5 25C3 EC9B FFFA
35A6 FFF6 1C6C 2D01 3724 E08F FFFA 1FC9 13B5 1EDD FFB0 1D89 FFD1 1748 DB51 5BAD FFFE 1AB0 FFFB 17CE 13E2 25CA EC9E FFFA
35AC FFF6 1C6B 2D01 3729 E093 FFFA 1FCC 13D1 1EE4 FFB0 1DDF FFD1 1741 DB41 5BA0 FFFE 1AB0 FFFB 1874 1475 25C7 EC9E FFFA
35C5 FFF6 1C51 2CFD 3720 E092 FFFA 1FC5 14B3 1EF0 FFB0 1DDF FFD1 17C9 DB8D 5BE0 FFFE 1A9A FFFB 1874 14C7 25B2 EC8F FFFA
35AD FFF6 1C5A 2D05 36E6 E068 FFFA 1FC1 14CB 1EE6 FFB0 1D65 FFD1 17D9 DB8D 5BE0 FFFE 19EB FFFB 1761 1481 2595 EC98 FFFA
35AE FFF6 1C55 2D05 36EE E06E FFFA 1FC7 14DE 1EE6 FFB0 1D63 FFD1 17E7 DB81 5BD6 FFFE 19CA FFFB 1761 1481 2586 EC98 FFFA
35B1 FFF6 1C55 2D01 36F9 E077 FFFA 1FCB 14D9 1EE8 FFB0 1D6A FFD1 17E7 DB76 5BCD FFFE 19D7 FFFB 175A 1478 259E EC91 FFFA
35B3 FFF6 1C54 2D01 36FC E078 FFFA 1FCD 14C4 1EE9 FFB0 1D6A FFD1 17D9 DB68 5BC0 FFFE 19D7 FFFB 175C 1470 259F EC91 FFFA
35B2 FFF6 1C53 2CFD 3703 E07E FFFA 1FD1 14C4 1EE8 FFB0 1D68 FFD1 17D9 DB5E 5BB9 FFFE 19D6 FFFB 175A 146C 25A5 EC8C FFFA
35B4 FFF6 1C53 2CFD 370E E087 FFFA 1FD1 14B5 1EEA FFB0 1D94 FFD1 17D4 DB55 5BB3 FFFE 19F4 FFFB 178D 1482 25AE EC8C FFFA
35C0 FFF6 1C39 2CF5 3706 E07F FFFA 1FD0 14E2 1EF3 FFB0 1D78 FFD1 17B6 DB6F 5BD3 FFFE 19E5 FFFB 17A0 14C6 259D EC82 FFFA
35C0 FFF6 1C9D 2D04 36FB E077 FFFA 1FC9 1514 1EF3 FFB0 1D78 FFD1 1842 DBA0 5BEB FFFE 19BD FFFB 17B1 14ED 258D EC96 FFFA
