1464 DA3E 02EA F764 0270 E1FF 7FFF C32B 8000 93B8 9702 8B86 CC98 FCCD D4FC AABA EFDE 12C3 1BBB F2DD E7DD 0D6A F7A1 C668
1088 DAC6 FDF0 F159 032C E859 7FFF B681 8000 84FD 900E 87E9 D517 FA5D 141D E145 0DAF 13BF FB4F EE3B ED48 E85B F7D3 FB6D
1088 DAC6 FDF0 F159 032C E85A 7FFF B682 8000 84FE 900D 87E9 D519 FA5D 141D E143 0DB1 13BE FB4F EE3D ED47 E859 F7D2 FB6F
1088 DAC6 FDF0 F158 032C E85A 7FFF B681 8000 84FD 900E 87E9 D51A FA5D 141D E142 0DB2 13BF FB4F EE3D ED47 E859 F7D2 FB71
1088 DAC6 FDEF F157 032C E85B 7FFF B680 8000 84FD 900D 87E9 D518 FA5C 141D E144 0DB0 13BF FB4F EE3D ED48 E85C F7D3 FB6D
108D DAC6 FDF0 F155 032D E857 7FFF B683 8000 8502 9006 87E7 D503 FA5E 141A E14C 0D9D 13BD FB53 EE3F ED4C E867 F7D2 FB4F
10A2 DAC7 FDEF F146 0331 E83E 7FFF B686 8000 851B 8FDB 87DD D4B8 FA71 1429 E148 0D9F 13D1 FB41 EE0F ED5D E859 F7E9 FB3C
1082 DACF FDF3 F195 0324 E844 7FFF B677 8000 8527 9006 87F7 D52D FA38 13E4 E0C7 0DFB 13CA FB51 EE36 ED1F E7FB F7B2 FBC4
105C DACF FDF2 F1AF 031B E842 7FFF B66C 8000 8505 9042 880A D53E FA1B 1404 E113 0DED 13AC FB4E EE38 ED18 E814 F7B7 FBB1
1076 DACD FDF6 F189 0323 E851 7FFF B681 8000 8513 9016 87FE D488 FA31 1443 E1A7 0D74 13A4 FB3A EE59 ED50 E860 F7AE FAEF
1093 DAC8 FDF1 F149 0330 E853 7FFF B68A 8000 8516 8FF3 87E6 D4B2 FA55 1451 E183 0D9E 13AE FB2E EE48 ED54 E84D F7BB FB3B
108E DAC9 FDF3 F15B 032F E852 7FFF B68D 8000 8526 8FF0 87E9 D50A FA51 13F8 E0F6 0DD0 13BA FB4F EE52 ED35 E836 F7B0 FB7E
1083 DAC9 FDF5 F160 032E E85D 7FFF B693 8000 851A 8FFF 87EF D4CB FA47 143D E15B 0DBB 13A2 FB30 EE59 ED42 E82B F7A8 FB64
1087 DAC7 FDF5 F152 0330 E867 7FFF B696 8000 851A 8FF8 87EA D4F1 FA4C 1428 E145 0DB8 13A6 FB3F EE5A ED3E E841 F7AD FB68
1083 DAC8 FDEF F150 032F E86B 7FFF B682 8000 850B 9003 87EA D502 FA48 1428 E148 0DB7 13A6 FB43 EE5E ED41 E849 F7AB FB6C
1081 DACE FDF0 F182 0326 E83E 7FFF B675 8000 8521 9008 87F6 D4EB FA2D 1402 E11A 0DBD 13A8 FB4F EE46 ED2D E82C F7A6 FB5D
