027E 0000 0298 00DB 00A1 0000 0000 0071 00CC 00DB 0000 0131 0000 01EB 0035 03FD 0000 0150 0000 0000 0000 00B7 0000 0000
02CC 0000 00F7 00AB 00CC 0000 0000 0075 00BC 00CB 0000 008E 0000 00C0 0000 03D3 0000 00E4 0000 00C0 00B8 00E1 0000 0000
02CC 0000 00F7 00AB 00CC 0000 0000 0075 00BC 00CB 0000 008E 0000 00C0 0000 03D3 0000 00E4 0000 00C0 00B8 00E1 0000 0000
02CC 0000 00F7 00AB 00CC 0000 0000 0075 00BC 00CB 0000 008E 0000 00C0 0000 03D3 0000 00E4 0000 00C0 00B8 00E1 0000 0000
02CC 0000 00F7 00AB 00CC 0000 0000 0075 00BC 00CB 0000 008E 0000 00C0 0000 03D3 0000 00E4 0000 00C0 00B8 00E1 0000 0000
02CC 0000 00F7 00AB 00CC 0000 0000 0075 00BC 00CB 0000 008E 0000 00C0 0000 03D3 0000 00E4 0000 00C0 00B8 00E1 0000 0000
02CC 0000 00F7 00AB 00CC 0000 0000 0075 00BC 00CB 0000 008E 0000 00C0 0000 03D3 0000 00E4 0000 00C0 00B8 00E1 0000 0000
02CC 0000 00F7 00AB 00CC 0000 0000 0075 00BC 00CB 0000 008E 0000 00C0 0000 03D3 0000 00E4 0000 00C0 00B8 00E1 0000 0000
02CC 0000 00F7 00AB 00CC 0000 0000 0075 00BC 00CB 0000 008E 0000 00C0 0000 03D3 0000 00E4 0000 00C0 00B8 00E1 0000 0000
02CC 0000 00F7 00AB 00CC 0000 0000 0075 00BC 00CB 0000 008E 0000 00C0 0000 03D3 0000 00E4 0000 00C0 00B8 00E1 0000 0000
02CC 0000 00F7 00AB 00CC 0000 0000 0075 00BC 00CB 0000 008E 0000 00C0 0000 03D3 0000 00E4 0000 00C0 00B8 00E1 0000 0000
02CC 0000 00F7 00AB 00CC 0000 0000 0075 00BC 00CB 0000 008E 0000 00C0 0000 03D3 0000 00E4 0000 00C0 00B8 00E1 0000 0000
