00B4 00C3 00C6 0000
00AD 00C0 00C4 0000
00A9 00BF 00C2 0000
00A6 00BE 00BF 0000
00A7 00BD 00BC 0000
00A6 00BC 00BB 0000
00A6 00BA 00BB 0000
00A7 00B9 00BD 0000
00A6 00B9 00BD 0000
00A6 00BA 00BD 0000
00A4 00BA 00BB 0000
00A7 00BC 00BD 0000
00A7 00BC 00BD 0000
00A8 00BD 00BD 0000
00A8 00BB 00BC 0000
00A6 00BA 00BB 0000
00A7 00BC 00BD 0000
00A7 00BD 00BE 0000
00A7 00BC 00BD 0000
00A8 00BB 00BD 0000
00AD 00BD 00BF 0000
00AB 00BB 00BB 0000
00AB 00B5 00B4 0000
0094 0089 0086 0000
0091 0075 006D 0000
00A2 007B 006E 0000
00AE 0082 0073 0000
00B5 008A 0079 0000
00BA 008D 007D 0000
00BE 008F 0080 0000
00C4 0091 0084 0000
00C6 0091 0084 0000
00C6 0093 0088 0000
00C8 0098 008C 0000
00C8 009D 008E 0000
00C2 009B 008D 0000
00B8 009D 0090 0000
00B2 00AE 00A5 0000
00AE 00BC 00B8 0000
00AE 00BC 00BE 0000
00B0 00BE 00C0 0000
00AE 00BD 00C0 0000
00AE 00BF 00C0 0000
00AF 00BE 00BF 0000
00AE 00BE 00C0 0000
00B1 00BD 00C0 0000
00B1 00BF 00BE 0000
00AE 00AD 00AC 0000
0093 007E 0077 0000
00A4 0087 0076 0000
00BB 0098 0089 0000
00CC 00A8 009C 0000
00D4 00B3 00A4 0000
00DA 00B9 00AA 0000
00DF 00BD 00AB 0000
00E4 00C0 00AE 0000
00E9 00BF 00B0 0000
00E8 00BE 00B1 0000
00E5 00C0 00B2 0000
00E0 00C1 00AF 0000
00D9 00C4 00B3 0000
00D7 00D0 00C7 0000
00E0 00E9 00E9 0000
00E2 00EE 00F4 0000
00E5 00F2 00FA 0000
00E7 00F4 00FC 0000
00E9 00F7 00FD 0000
00EB 00F8 00FE 0000
00EA 00F6 00FB 0000
00DD 00DE 00E0 0000
0092 0083 007D 0000
0089 006C 005E 0000
009F 007D 006C 0000
00B4 0091 007F 0000
00C2 009D 008D 0000
00C8 00A4 0094 0000
00CB 00A9 0098 0000
00D1 00AD 009C 0000
00D6 00AE 009C 0000
00DB 00B3 009F 0000
00DC 00B6 00A2 0000
00DD 00BD 00AC 0000
00DC 00CA 00BE 0000
00E6 00E6 00E2 0000
00EF 00FA 00FB 0000
00F0 00FC 00FF 0000
00F1 00FC 00FF 0000
00EF 00FE 00FF 0000
00EF 00FD 00FF 0000
00F1 00FD 00FF 0000
00F1 00FC 00FE 0000
00F2 00FD 00FF 0000
00F1 00FB 00FE 0000
00F0 00FB 00FF 0000
00F0 00FB 00FF 0000
00EE 00FB 00FE 0000
00ED 00FC 00FF 0000
00ED 00FC 00FF 0000
00EE 00FB 00FF 0000
00EE 00FA 00FE 0000
00EF 00FA 00FE 0000
00EE 00FA 00FF 0000
00ED 00FA 00FF 0000
00EC 00F9 00FE 0000
00EA 00F7 00FD 0000
00EB 00F8 00FE 0000
00EA 00F7 00FF 0000
00EB 00F8 00FF 0000
00EB 00F8 00FF 0000
00EB 00F8 00FF 0000
00EB 00F7 00FF 0000
00EB 00F8 00FF 0000
00E9 00F6 00FE 0000
00E9 00F6 00FE 0000
00EA 00F7 00FF 0000
00E8 00F5 00FE 0000
00E8 00F5 00FE 0000
00E7 00F4 00FD 0000
00E7 00F5 00FE 0000
00E6 00F5 00FD 0000
00E4 00F3 00FC 0000
00E5 00F3 00FC 0000
00E6 00F2 00FB 0000
00E6 00F2 00FC 0000
00E3 00F1 00FC 0000
00E3 00F1 00FB 0000
00DF 00ED 00F7 0000
00DA 00E8 00F2 0000
