0088 0092 008B 0000
008C 0091 008C 0000
0091 0093 008D 0000
0091 0095 0089 0000
0092 0096 008C 0000
0095 0096 0093 0000
0098 0096 0094 0000
0099 0098 0090 0000
0098 0098 0090 0000
0097 009A 0090 0000
0093 009A 0092 0000
0097 009B 0094 0000
0096 009C 0096 0000
009E 00A0 009B 0000
00A2 00A3 009D 0000
00A3 00A4 00A1 0000
00A4 00A6 00A4 0000
00A5 00AA 00A4 0000
00AB 00AD 00A9 0000
00AD 00AF 00AE 0000
00B6 00B3 00B1 0000
00B7 00B6 00B2 0000
00BA 00BA 00B7 0000
00BB 00BD 00B9 0000
00BE 00C1 00BC 0000
00C4 00C5 00C0 0000
00C7 00C7 00C5 0000
00C8 00CA 00C6 0000
00CB 00D0 00CA 0000
00D4 00D4 00D1 0000
00D8 00D8 00D9 0000
00DD 00D9 00D7 0000
00BF 00A1 0092 0000
00B6 007D 005D 0000
00BD 0082 0059 0000
00BF 0086 0059 0000
00C4 008C 005F 0000
00C8 008E 005C 0000
00CE 008A 0056 0000
00D1 008D 0058 0000
00D6 0090 005D 0000
00DB 0097 0061 0000
00DF 009E 006A 0000
00DF 00A1 006B 0000
00E0 009E 0067 0000
00E1 00A2 006E 0000
00E7 00A7 0079 0000
00E9 00AB 007B 0000
00ED 00AE 007C 0000
00EB 00B0 007B 0000
00ED 00B5 007D 0000
00F4 00B9 0084 0000
00F7 00B9 008A 0000
00F6 00B9 0088 0000
00F6 00BD 0089 0000
00F8 00C0 0091 0000
00FB 00C1 0098 0000
00F9 00C1 0099 0000
00F9 00C4 009C 0000
00F5 00C0 009A 0000
00F1 00BF 0096 0000
00F0 00BF 0091 0000
00F1 00B8 008A 0000
00EE 00AB 007D 0000
00DF 0098 0062 0000
00CA 007A 0044 0000
00C7 0074 0039 0000
00DC 0097 0061 0000
00E7 00A1 0075 0000
00EB 00AB 0082 0000
00EB 00B6 0089 0000
00EE 00B9 008A 0000
00EE 00BC 008D 0000
00F0 00BA 008B 0000
00F2 00B8 0087 0000
00F2 00BA 008B 0000
00F2 00BB 008B 0000
00F2 00BB 008D 0000
00F1 00B7 0089 0000
00F0 00B8 0089 0000
00EF 00BB 0090 0000
00EE 00BE 0095 0000
00F5 00C0 0096 0000
00F7 00C5 009B 0000
00F5 00CA 00A4 0000
00F4 00CC 00A8 0000
00F1 00C5 00A3 0000
00EC 00C3 009C 0000
00E7 00C2 009C 0000
00E3 00BE 009D 0000
00D2 00C4 00AB 0000
00EF 00EF 00E8 0000
00FE 00FF 00FE 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
00FF 00FF 00FF 0000
